method,rate_seconds,accuracy,macro_f1,seed
takahashi_rf,5,0.7881184103811841,0.7437603203763837,10086
takahashi_rf,10,0.7759562841530054,0.7260859039581542,10086
takahashi_rf,20,0.7526315789473684,0.702947335330872,10086
takahashi_rf,30,0.7437246963562752,0.6943118678602851,10086
takahashi_rf,60,0.689304595363969,0.6441594611168228,10086
xgboost,5,0.7964314679643146,0.7535433757231825,10086
xgboost,10,0.7785873304998988,0.7351678610764081,10086
xgboost,20,0.7597165991902834,0.7170288476749268,10086
xgboost,30,0.7578947368421053,0.70939790684884,10086
xgboost,60,0.6960146400976006,0.6488303226615549,10086
dabiri_cnn,5,0.7818329278183292,0.7372132911649785,10086
dabiri_cnn,10,0.769277474195507,0.7274880381426712,10086
dabiri_cnn,20,0.7645748987854251,0.7114365204536477,10086
dabiri_cnn,30,0.7204453441295546,0.6650253391274712,10086
dabiri_cnn,60,0.6789345262301749,0.6250675218336815,10086
deepinsight_vit,5,0.7526358475263585,0.7109729146836751,10086
deepinsight_vit,10,0.763003440599069,0.7125714196141342,10086
deepinsight_vit,20,0.7437246963562752,0.6946972207455987,10086
deepinsight_vit,30,0.6880566801619433,0.6398053667154314,10086
deepinsight_vit,60,0.6935746238308256,0.6429727815200234,10086
maso_msf,5,0.7678426601784266,0.7208136316058884,10086
maso_msf,10,0.7739324023477029,0.7355699427676692,10086
maso_msf,20,0.7461538461538462,0.7017383306481241,10086
maso_msf,30,0.7427125506072875,0.6789977244660815,10086
maso_msf,60,0.6870679137860919,0.6320143697171087,10086
b0,5,0.7860908353609084,0.7435848376787331,10086
b0,10,0.7403359643796802,0.6892445075255574,10086
b0,20,0.7315789473684211,0.6655610422114749,10086
b0,30,0.7289473684210527,0.6726570232872745,10086
b0,60,0.7155347702318016,0.6373460933052366,10086
sorf_tmi,5,0.8122465531224655,0.7703950750624454,10086
sorf_tmi,10,0.7868852459016393,0.7392698770217843,10086
sorf_tmi,20,0.790080971659919,0.727065705801122,10086
sorf_tmi,30,0.7657894736842106,0.7074294823454901,10086
sorf_tmi,60,0.7242781618544124,0.6637973333665913,10086
